V;I
0.000602688236974894;1.03435480849516E-10
0.000611525307898279;1.45048151857489E-10
0.00124867812147438;5.60877629369525E-10
0.00307618438843051;1.30596214265065E-09
0.00731444360328621;3.48073698514393E-09
0.0127465910998913;6.39521932396577E-09
0.0157626834060428;8.38022984885987E-09
0.0260119182629853;1.70362944080042E-08
0.0404737848291058;3.46251165266797E-08
0.0513195219733769;5.74632419486762E-08
0.0597553898768407;8.61777438860712E-08
0.0760209026184241;1.63681090380538E-07
0.0904792343561752;2.90587916956288E-07
0.103731305912884;4.66158118748919E-07
0.116985144883778;8.00124346400707E-07
0.130238100147579;1.32769234804665E-06
0.141682990700456;1.99080538084423E-06
0.15071977942671;2.88625572363344E-06
0.165779031987251;4.95353065325196E-06
0.17843018272117;8.21995708379787E-06
0.189875073274046;0.0000123253966303333
0.20372983306773;0.0000204515459424213
0.209151376079227;0.0000250437398153357
0.222404331343029;0.0000415565178948329
0.232644729129048;0.0000602442627988558
0.241077945911235;0.0000816334012415837
0.248909358163539;0.000110620296316287
0.261560508897458;0.00018356484535327
0.273005399450334;0.000275245904972474
0.288065535717968;0.000488635684963319
0.300715802744794;0.00078389087558625
0.313968758008596;0.00130075521623765
0.326015453091355;0.00195034841331433
0.339268408355156;0.00323632529872494
0.352520479911865;0.00519167943634798
0.365772551468574;0.00832843823839887
0.377217442021451;0.0124880584597982
0.39107043440095;0.0193665218030293
0.400102804591742;0.0237102590769332
0.410342318670669;0.0332298650536802
0.420579181628319;0.0420792564594303
0.430214240056086;0.0532871220441865
0.439849298483853;0.0674802174437107
0.450085277734411;0.0826098220769996
0.460320373277876;0.0977693288749825
0.469953664291458;0.115714640314227
0.480188759834923;0.136949123483003
0.489821167141414;0.15669699444758
0.499452690740812;0.1733316254919
0.509687786284277;0.205139247017834
0.520522035236347;0.219357343146114
0.529551754305863;0.242652097137176
0.539784198728051;0.259478989386134
0.549414838620356;0.277482165374199
0.560249971279519;0.306918283987347
0.569881494878917;0.339500098545336
0.580113939301105;0.363042988320995
0.590346383723294;0.388218477501966
0.598169842611767;0.38804735914493
