V;I
0.000101458465440629;1.55873068275443E-11
0.00675544282392693;6.8444942890906E-11
0.025838089198901;1.23699936848278E-10
0.0512027055590787;1.92814887020195E-10
0.0702515324455719;3.00546480490206E-10
0.089274994715705;4.19266303838215E-10
0.114588881843162;5.23450359016175E-10
0.146218558444303;6.53523252037665E-10
0.171507080955401;7.30220153999274E-10
0.196804058338618;8.46663511318904E-10
0.222084125977594;9.116735551428E-10
0.253688437962376;1.01866674484456E-09
0.278985415345593;1.18110676394006E-09
0.30430775734517;1.53016743762679E-09
0.323314309871063;1.98238843316975E-09
0.348645106742761;2.66503435100683E-09
0.361335869794969;3.45265043649723E-09
0.367727753117734;4.81649289186325E-09
0.380443880786303;6.97225871757512E-09
0.386835764109068;9.72639285994485E-09
0.405859226379201;1.35684463095896E-08
0.412242654829845;1.82408123956965E-08
0.424933417882055;2.36316461948315E-08
0.437649545550623;3.42086980904534E-08
0.444049883745508;4.95198267355464E-08
0.456791376030438;8.00966694580602E-08
0.469524413443247;1.24849136270718E-07
0.482257450856056;1.94606179420556E-07
0.507655886704713;3.51710018123279E-07
0.520355104629043;4.7282321880432E-07
0.526763897696048;7.10240809204637E-07
0.533172690763052;0.0000010668723256343
0.552229972521666;1.72563043236462E-06
0.558664130205031;2.89632564429116E-06
0.571380257873599;4.19266303838215E-06
0.590437539632213;6.78149274083109E-06
0.596804058338617;8.46663511318904E-06
0.622227858803635;0.0000170974651393752
0.634969351088564;0.0000276545800766346
0.647753117734094;0.0000538175217219369
0.660503064891143;0.0000903281869350498
0.673253012048193;0.000151608269833196
0.69865144789685;0.000274000278354163
0.705077150708096;0.000443186318965776
0.717793278376664;0.000641547645827376
0.736859015007398;0.00107678380248444
0.755958571126611;0.00209548781863436
0.768683153667301;0.00314769009810678
0.768767702388502;0.00455653319115765
0.781483830057071;0.00659594625741875
0.800541111815684;0.010668723256343
0.813265694356373;0.0160257837124138
0.832289156626506;0.0223561796240478
0.844979919678715;0.0289632564429116
0.863978017332488;0.0361603755048482
0.89560769393363;0.0451459164900511
0.927228915662651;0.0543174982494583
0.971473261466921;0.0629791488800658
1.00938490805327;0.0678149274083109
1.0662608328049;0.0786289234074115
1.11680405833862;0.0846663511318903
1.16103149439865;0.09116735551428
1.21789896427817;0.101866674484456
1.26213485521031;0.113821655920433
1.35689706193194;0.127179663241547
1.42639611075882;0.142105354305689
1.52748256182625;0.164765951192565
1.61592897907419;0.184102735256216
1.69805115197633;0.198238843316975
1.79912069329951;0.21346037550697
1.89388290002114;0.238511893478059
1.96968082857747;0.247499483634305
2.0518030014796;0.266503435100683
2.16551257662228;0.297780038910291
2.24763474952441;0.320644722601789
2.38659902768971;0.345265043649724
2.49398435848658;0.371775806566106
2.55083491862186;0.385785039106667
2.6771760727119;0.431060424841397
2.77192136968928;0.447303616635973
2.84772775311773;0.481649289186325
2.92352568167406;0.499798767382689
2.97406045233566;0.51863215307398
