V;I
-0.0126050420168067;2.96704596601123E-11
0.00630252100840334;7.73624083069643E-11
0.0819327731092434;1.73998267832799E-10
0.220588235294118;2.16887270172709E-10
0.258403361344538;3.37482600361373E-10
0.308823529411765;6.31370575177267E-10
0.340336134453782;1.70791503762584E-09
0.378151260504202;8.64567403558742E-09
0.422268907563025;3.91818627373266E-08
0.447478991596638;1.3719958127824E-07
0.497899159663866;5.7756715227346E-07
0.535714285714286;2.25873933723066E-06
0.573529411764706;9.16515042310063E-06
0.617647058823529;0.0000385838991861331
0.636554621848739;0.0000900704357762224
0.655462184873949;0.000272161932009617
0.69327731092437;0.00106436603866239
0.718487394957983;0.00257786514039097
0.775210084033613;0.0108515825006096
0.800420168067227;0.0327884868351385
0.857142857142858;0.0920122992441394
0.913865546218488;0.159897735335289
1.07773109243698;0.222583895514582
1.27941176470588;0.333475526550588
1.43697478991597;0.386085017871335
1.70798319327731;0.517652877748625
1.8781512605042;0.621775825610069
2.17436974789916;0.719254916715724
2.38235294117647;0.832467495086788
2.65336134453782;0.999294303811124
2.96218487394958;1.19927460212289
