V,I
0.0,0.0
0.0015000015000015,6.120961515421186e-09
0.003000003000003,1.2573154073436399e-08
0.004500004500004501,1.9374503779090446e-08
0.006000006000006,2.654390307554877e-08
0.0075000075000075,3.4101269363873143e-08
0.009000009000009001,4.206759740554844e-08
0.0105000105000105,5.046501883043675e-08
0.012000012000012,5.931686075655307e-08
0.013500013500013501,6.86477079625547e-08
0.015000015000015,7.84834952582969e-08
0.0165000165000165,8.885153590654227e-08
0.018000018000018003,9.978063530979853e-08
0.019500019500019502,1.113011549591647e-07
0.021000021000021,1.234451048048868e-07
0.0225000225000225,1.3624620009977662e-07
0.024000024000024,1.497400319294684e-07
0.025500025500025503,1.639640743178461e-07
0.027000027000027002,1.789578192301633e-07
0.0285000285000285,1.9476296131415438e-07
0.03000003000003,2.1142336947832518e-07
0.0315000315000315,2.2898535689819255e-07
0.033000033000033,2.4749769522713905e-07
0.0345000345000345,2.67011813548379e-07
0.036000036000036005,2.875819120617962e-07
0.037500037500037504,3.092651468250551e-07
0.039000039000039004,3.321217434404389e-07
0.0405000405000405,3.562152244285244e-07
0.042000042000042,3.816124944933108e-07
0.0435000435000435,4.083840963176044e-07
0.045000045000045,4.36604437936694e-07
0.0465000465000465,4.6635190642518864e-07
0.048000048000048,4.977090952706931e-07
0.0495000495000495,5.307632022777398e-07
0.051000051000051005,5.656059443026606e-07
0.052500052500052505,6.023342393746134e-07
0.054000054000054004,6.410499509001966e-07
0.055500055500055503,6.818607971581514e-07
0.057000057000057,7.248800670822675e-07
0.0585000585000585,7.702272455389902e-07
0.06000006000006,8.180283543879341e-07
0.0615000615000615,8.684161798555579e-07
0.063000063000063,9.215306704390969e-07
0.0645000645000645,9.77519334810495e-07
0.066000066000066,1.0365378102505929e-06
0.0675000675000675,1.0987500900228042e-06
0.069000069000069,1.1643287507467903e-06
0.0705000705000705,1.2334561461102567e-06
0.07200007200007201,1.306324293182115e-06
0.07350007350007351,1.3831356682203477e-06
0.07500007500007501,1.4641034340456827e-06
0.07650007650007651,1.5494526905968087e-06
0.07800007800007801,1.639420588617213e-06
0.0795000795000795,1.7342568980893702e-06
0.081000081000081,1.8342250314162811e-06
0.0825000825000825,1.939602952916175e-06
0.084000084000084,2.0506829514488345e-06
0.0855000855000855,2.1677740278391866e-06
0.087000087000087,2.29120109906944e-06
0.0885000885000885,2.421307272015838e-06
0.09000009000009,2.5584540708223358e-06
0.0915000915000915,2.70302189164795e-06
0.093000093000093,2.855412958524539e-06
0.0945000945000945,3.016050186488428e-06
0.096000096000096,3.185379910064512e-06
0.0975000975000975,3.3638725653872825e-06
0.099000099000099,3.552023827069206e-06
0.10050010050010051,3.7503561998164514e-06
